post content,leavemessage content,num of content likes,post_time,num of posts,num of followers,num of follows,num of tags,avg response,one month posts
"於是，終於被我心愛的朋友解開了深層影響著我的心防，對我來說這是生活中一個無比強大的進步，我也願意坦承面對更屬於真實自己的分享。儘管這些可能帶來意想不到的結果。

To Ro:
我認為這是非常勇敢的，當那段日子妳每天早上張開雙眼時感到滿心的苦痛、生活的憂鬱、低品質的撞牆期，甚至你覺得很困難去對這個世界放得更柔軟，但妳未曾選擇過放棄。

我認為當妳仍然有能力繼續愛人、分享表達、激勵自己、開放自己的靈魂是勇敢的，儘管過去妳曾經如此的被對待、如此沈重的打擊。

我認為妳未曾停歇的勇往直前是勇敢的，妳認為總是有更重要、更珍貴、更有價值的事情去做。我認為妳選擇每一天都想要前進是很勇敢的，因為那才使妳變得堅強，為自己屹立不搖。

09/12/2019","yue_freediving_soul
加油
2 週回覆
yms1214
??????完全一樣的自我懷疑
2 週回覆
ctchen1978
??恭喜
2 週回覆
kingsman0928
改變的確很難，但結果值得冒險！
2 週1 個讚回覆
hi__cindy
你很勇敢
2 週回覆
natson50
喜歡看你帶來的豐富人生，讓人覺得充滿活力
6 天回覆",820,2019/12/9,1648,12,822,302,5,54
"摩里沙卡洞穴溫泉 ??

想起那一場快閃花蓮行程。

一路南下前往萬里溪的路上經過了壽豐溪，想起二子山這條我溯過最困難的溪，沿途溯經不下二十次的大河道，長途跋涉還因為走錯路，一趟重裝行溯溪行程走了整整一天，最後拖著疲憊的身軀摸黑走到二子山溫泉。這是五年前的事情。??
???????????
想到這裡，騎著車吹著風，不經打了個冷顫，開始有點猶豫，洞穴溫泉??到底是什麼樣子啊....。 我先給大家一點信心！??沒有想像中的可怕啦～

我們比預期時間更快就抵達，中間也只渡河四次就到了，喝水因為下游沒有那麼湍急，但還是要注意是不是雨季。

比較困難的反而是要找到溫泉，如果是自己去的話可能很難找到泉口，畢竟洞穴溫泉的入口根本不見蹤跡，高度大概是七樓往下看，我們從河道開始沿著被溫泉充實的岩壁一路往上爬，岩壁像是我在宿霧Anigod falls說的那個 #石灰地形 ( 詳情請見 #rocean????）不會滑、挺好走的，直到最高點的時候一望而下，萬里溪清的轉角河道整條呈現在眼前，這可能是我泡過溫泉展望最好的嘿嘿。
???????????
一看到這個隱秘的泉池大家不經感嘆道，這隱藏式的溫泉要是我們自己來可不一定找得到，而恰巧這天天氣跟氣溫都很剛好，走向溫泉一腳跨入，一開始有些不適應，他算是偏熱的溫泉，但沒有太魯閣文山溫泉那麼燙，不過也是花一點時間去是應這裡的溫度，聊聊天玩玩水，泡到最後都安靜的浸泡在池裡，他們說，好像日本的溫泉猴子泡得一臉舒服樣，這意外的溫泉野溪遊也是蠻新鮮的～","h0982256301
屁屁冷到
2 週回覆
skylifechannel
Hahhah 之前超想去這
2 週回覆
fai.h905
想再去二子
2 週回覆
judychen0611
請問這是朋友邀約嗎？可以帶朋友一起參加嗎
1 週回覆",323,2019/12/7,1648,12,822,302,5,54
"下了一天的雨
想起幾年前我總是在說
冬天的、雨天的我是一個空空的靈魂
即使他無法阻擋我奔走野外
但提不起精神、也無法喜歡

其實這原以為是與生俱來的思想也能改善
長大了以後不會那麼討厭雨
帶我走出來的是因為坐在浪板上的那些日子??
觀賞整片寧靜大海上無數的小雨滴滴落
在帽簷、在肩頭、在浪板上
在一個平靜心裡打起無數漣漪
好喜歡坐在海中央享受大自然的一切??

後來得了法國才知道
原來雨真的能下的如此浪漫如此浪漫??
法國的雨大概是我最喜愛法國的事情了
雨總是輕飄而下 一滴都不會沾染浸濕鞋襪
空氣中沒有濕冷的味道
甚至會把隔壁咖啡的香氣濃縮再溢散
街道上的紳士們立起風衣高領
沒有人為了撐傘而苦惱 甚至看到雀躍的孩子們????
火車窗外就是巴黎鐵塔與乾淨的空氣

於是我漸漸讓自己越來越能突破
以往認為無法的 改變不了的
空間 狀態 人 事件 過往
我喜歡我喜歡著我的每一天
所以
喜歡很重要 每一天很重要

喜歡在小島生活的空間??",,479,2019/12/6,1648,12,822,302,5,54
"外太空色系好美呀！新品party連點心都充滿迷幻的宇宙感～??????

謝謝 @realdarrenhuang 力挺又拍又剪??
Thanks for your music! @ryanjsqual ????
謝謝 @adidas_tw 的邀請???? @adidas_tw #adidas #ULTRABOOST20 #超越重力","am.925
??????喜歡
2 週回覆
carpediem_wild_m_
你比美????
2 週回覆
jiang70
人模人樣
2 週回覆
joy1302005
好喜歡????????????????????
2 週回覆
ryanjsqual
????????
2 週1 個讚回覆
coolilghost
正欸
2 週回覆",644,2019/12/6,1648,12,822,302,5,54
"交心，一直是生命中最深刻的。

最近進入的一趟一趟心理冒險旅程，
如果說整個世界本是舒適圈那我也在人與人之間踏出了一步，
這些旅人與前二十多年的不同，
感受生命的溫度、承受靈魂深處的秘密，
或許這些故事太過紮實疲憊累積每夜倒頭就是深眠，
但我想或許生活不正常或許就是我的正常，
後來的我也能在其中顯得一如往常。

時常想起那兒曾經是一個最舒服的地方，
一段最瘋狂且溫柔的時光，
儘管如此的美麗後來也走丟了睡眠，
想起兩人淡淡地談談各自近年對於生活的觀察與認清後的滯留，
對事物的看法與生命的的可能性，
儘管脆弱碎成散沙但陽光一樣照耀、夕陽依舊溫暖，
只是此後我再也沒有翻開鏡子，
或許我不再想看到的是那面純真的本性，
卻又要不時提醒自己不能丟失了本性。

或許混沌帶來一切我所適應的安逸，
或許你與未來未知領域都是冒險，
或許我們終究會度過、會妥協、永不止息，

但，
不能停止抓住自身該有的態度，重新再重新的探討生命平衡自己，釐清今生重要的核心。至少一切有了不安與惶恐造就了非凡的自由。不需區分理性或感性，但需要清晰。

抒發一下吧，這是時隔多久的怪力亂談??","bboyyin
?????♂?
3 週回覆",782,2019/12/3,1648,12,822,302,5,54
"想起來那天天氣挺好的，找了跟我一樣說走就走的 @louin___ 開著車就往海邊去了。龍洞一直以來去了太多次太多年，原以為這片領土對我來說是相當熟悉的地方了，誰知道～這次意外的一趟旅程再次拉起我對這片土地的狂熱！

你一定也聽過吧！龍洞其實最世界聞名的是龍洞600多條的岩道，翻開攀岩圖鑑龍洞攀岩場可是台灣的驕傲呢！????或許說起來感受不到，但那天一趟旅程可真讓我吃驚！

以前去過花蓮的戶外岩場就覺得，台灣應該沒有其他地方會比花蓮來的美了。意外地在岩石上巧遇海上滑行的 @supletsgoplay ，我毫不猶豫跳下水就上了 @jason_maowang 的板子，接著我們用SUP把整片快兩公里的超大片岩場一覽無遺！校門口、長巷、音樂廳、大禮堂跟黃金谷，一旦開始知道這些路線，就開始覺得自己好像更接近這片土地了，所以我開始對於攀岩非常感興趣！

就是因為主動接觸過、親自了解後，更能放下擔憂與不確定的心情，勇敢前行勇敢嘗試！

#rocean衝一波","chianglintzu
??????
3 週1 個讚回覆
ooorange33
太剛好了吧！
3 週回覆
hi__cindy
刺水達人
3 週回覆
yms1214
天啊！????
3 週回覆
natson50
太美了
3 週回覆",565,2019/12/2,1648,12,822,302,5,54
有一天我們決定不上山了，來泡全裸女湯???? 全部都是阿姨大開眼界??,"am.925
凹??????
3 週回覆",392,2019/12/1,1648,12,822,302,5,54
"I'd rather look back and regret something I did when I was young, crazy and ignorant , than look back and regret something I never had the courage to do, and realize it's too late.

最近拍片時我最常說：時間在走，進度要有。它可能聽起來很無趣，不過實踐起來不容易，但你永遠可以從此刻開始努力。給自己點醒，也給大家勉勵。???? /

那個下午無意間在都市裡約了一個有趣而短暫的交流合作，攝影師是我非常欣賞的 @samiontheradio 他的圖影真的太有趣了！這個世界需要更多的創造力，創造更多美好與可能性。
-
?? @mavenwatches ?? @strongggheart","samiontheradio
我受寵若驚 ?????????????♂?
3 週1 個讚回覆
leeemin_
最愛妳愛笑的模樣????????
3 週1 個讚回覆
eeeeeebony_1993
好可愛的妳??
3 週1 個讚回覆",890,2019/11/30,1648,12,822,302,5,54
"不用對自己感到迷茫、不用感到迷失、困惑或沒有達到理想中的自己而失落。

要等到成長或變化，要有耐心也要用心，你最終會弄清楚一切，會變得有意義。如果你很快的做完了清單裡所有的事情，卻沒有沈澱、沒有咀嚼消化，接著失去方向了，沒有更多的空間去挑戰了，你知道生活會很無聊。

每一次經歷都會最終使你到達應該去的地方，每一次成就、每一次失敗和每一次錯誤都不要害怕，要用心體會。說白了，別指望付出過一點努力就能成功？去嘗試吧、去失敗吧、一次又一次地發現自己，永遠不要停下來，直到讓自己感到驕傲為止。

給自己喊喊話！","hi__cindy
給我喊喊 給你喊喊
6 週回覆
aaron_ruan
裁完 畫面變好協調喔！！??
6 週1 個讚回覆
yishanshan
屁股很美！！我也好想練成這樣
6 週回覆
jameshandsome14
??喊聲欸 go~
6 週回覆
natson50
這屁屁蛋100分
6 週回覆
ku6._._
美尻??
6 週回覆
icietailleursphotographie
very good and beautiful ! sensual ...
5 週回覆
m8932650
很喜歡這段文字，昨晚巧遇你同學聊天知道你們年紀後再來看這段文字更覺得台灣年輕人真的很棒!至少…我遇到的都很棒!蛋糕超好吃的…
5 週回覆
ding_24_chao_fit
好棒
2 週回覆",460,2019/11/12,1648,12,822,302,5,54
"旅行通常都是最專注於自己的生活與收穫的的階段，有時是緊湊到不行的行程、有時讓自己放到最鬆，不管走在什麼樣的路上，讓感官意識保持清淨，敏銳且細膩的觀察與自我省思，是旅途中最寶貴的成長。
???????????
宿霧的這個下午遇見了人生最難以忘懷的白沙灘。
???????????
地墊一鋪，噗通的衝進了清澈的海洋，在海水裡輕飄飄地漂著，自由的下潛，玩累了再上岸，與世界各地的旅人們一起享受這片柔軟而溫暖的沙灘。
???????????
不知不覺中，在這抹夕陽下，也悄悄地變成一隻曬著太陽，慵懶地睡著幸福無比的貓咪??～ 宿霧太平洋航空送大家雙十一禮物??趕快替自己訂下去，找個避冬好去處吧??。
. —————————— .
訂票快去我的個人專頁連結！之後還會釋放最新機票消息給大家，幫大家一起保持高度關注喲??

http://bit.ly/CEBSuperSeatFestTW6

#FlyToMoreFun #CebTravels #cebsuperseatfest","laijack512
咦 重po惹??
6 週1 個讚回覆
h0982256301
屁股蛋
2 週回覆",573,2019/11/12,1648,12,822,302,5,54
